,Poet,birthday
1374,Garrett%20Hongo,/poets/garrett-hongo
1375,Lois%20Beebe%20Hayna,/poets/lois-beebe-hayna
1376,Etheridge%20Knight,/poets/etheridge-knight
1377,Liz%20Berry,/poets/liz-berry
1378,Eugene%20Gloria,/poets/eugene-gloria
1379,Anita%20Endrezze,/poets/anita-endrezze
1380,Bill%20Coyle,/poets/bill-coyle
1381,Ben%20Vogt,/poets/ben-vogt
1382,John%20Straley,/poets/john-straley
1383,Susan%20Howe,/poets/susan-howe
1384,Carrie%20Fountain,/poets/carrie-fountain
1385,A.%20E.%20Housman,/poets/a-e-housman
1386,Ravi%20Shankar,/poets/ravi-shankar
1387,John%20Fuller,/poets/john-fuller
1388,Nick%20Lantz,/poets/nick-lantz
1389,Tim%20Nolan,/poets/tim-nolan
1390,Susan%20Fealy,/poets/susan-fealy
1391,Roger%20Pfingston,/poets/roger
1392,Anthony%20Anaxagorou,/poets/anthony-anaxagorou
1393,H.%20L.%20Hix,/poets/h-l-hix
1394,Floyd%20Skloot,/poets/floyd-skloot
1395,Linda%20Parsons%20Marion,/poets/linda-parsons-marion
1396,James%20Sloan%20Gibbons,/poets/james-sloan-gibbons
1397,Adam%20Zagajewski,/poets/adam-zagajewski
1398,Al%20Maginnes,/poets/al-maginnes
1399,Frances%20Jane%20Crosby%20Van%20Alstyne,/poets/frances-jane-crosby-van-alstyne
1400,Brendan%20Galvin,/poets/brendan-galvin
1401,George%20Albon,/poets/george-albon
1402,Matthea%20Harvey,/poets/matthea-harvey
1403,Sinéad%20Morrissey,/poets/sinead-morrissey
1404,Peter%20Everwine,/poets/peter-everwine
1405,Meghan%20O'Rourke,/poets/meghan-orourke
1406,Michael%20S.%20Harper,/poets/michael-s-harper
1407,Margaret%20Atwood,/poets/margaret-atwood
1408,Richard%20Howard,/poets/richard-howard
1409,Kathryn%20Starbuck,/poets/kathryn-starbuck
1410,William%20H.%20Dickey,/poets/william-h-dickey
1411,John%20Donne,/poets/john-donne
1412,Yona%20Harvey,/poets/yona-harvey
1413,Mary%20Hickman,/poets/mary-hickman
1414,John%20Dryden,/poets/john-dryden
1415,Lucie%20Brock-Broido,/poets/lucie-brock-broido
1416,Eileen%20R.%20Tabios,/poets/eileen-r-tabios
1417,John%20Brehm,/poets/john-brehm
1418,Steven%20Cordova,/poets/steven-cordova
1419,Catherine%20Barnett,/poets/catherine-barnett
1420,Robert%20Thomas,/poets/robert-thomas-56d205e3abb9f
1421,Rowan%20Ricardo%20Phillips,/poets/rowan-ricardo-phillips
1422,Sumita%20Chakraborty,/poets/sumita-chakraborty
1423,Al%20Young,/poets/al-young
1424,Ari%20Banias,/poets/ari-banias
1425,Alice%20Notley,/poets/alice-notley
1426,Thomas%20Centolella,/poets/thomas-centolella
1427,George%20Elliott%20Clarke,/poets/george-elliott-clarke
1428,Joseph%20Cephas%20Holly,/poets/joseph-cephas-holly
1429,Jillena%20Rose,/poets/jillena-rose
1430,Andrei%20Codrescu,/poets/andrei-codrescu
1431,James%20Hoch,/poets/james-hoch
1432,Chris%20Wallace-Crabbe,/poets/chris-wallace-crabbe
1433,Neal%20Levin,/poets/neal-levin
1434,Mary%20Wollstonecraft%20Shelley,/poets/mary-wollstonecraft-shelley
1435,Clint%20Smith,/poets/clint-smith
1436,Jana%20Prikryl,/poets/jana-prikryl
1437,Josephine%20Delphine%20Henderson%20Heard,/poets/josephine-delphine-henderson-heard
1438,Will%20Alexander,/poets/will-alexander
1439,Warren%20Hastings,/poets/warren-hastings
1440,Matthew%20Green,/poets/matthew-green
1441,David%20Sullivan,/poets/david-sullivan
1442,Atsuro%20Riley,/poets/atsuro-riley
1443,N.%20Scott%20Momaday,/poets/n-scott-momaday
1444,Chrissy%20Williams,/poets/chrissy-williams
1445,Rebecca%20Ariel%20Porte,/poets/rebecca-porte
1446,Margaret%20Postgate%20Cole,/poets/margaret-postgate-cole
1447,Alison%20Pelegrin,/poets/alison-pelegrin
1448,James%20Doyle,/poets/james-doyle
1449,Hart%20Crane,/poets/hart-crane
1450,Catherine%20Cockburn,/poets/catherine-cockburn
1451,Helen%20Hajnoczky,/poets/helen-hajnoczky
1452,Mark%20Kraushaar,/poets/mark-kraushaar
1453,Herbert%20Morris,/poets/herbert-morris
1454,Emily%20Liebowitz,/poets/emily-liebowitz
1455,Diana%20García,/poets/diana-garcia
1456,Pauli%20Murray,/poets/pauli-murray
1457,Lal%20Ded,/poets/lal-ded
1458,Garrett%20Caples,/poets/garrett-caples
1459,Sophie%20Collins,/poets/sophie-collins
1460,Brod%20Bagert,/poets/brod-bagert
1461,Joshua%20Corey,/poets/joshua-corey
1462,Jen%20Hofer,/poets/jen-hofer
1463,Robert%20Graves,/poets/robert-graves
1464,Matthew%20Brenneman,/poets/matthew-brenneman
1465,Charlotte%20Mew,/poets/charlotte-mew
1466,Tomás%20Q.%20Morín,/poets/tomas-q-morin
1467,Elinor%20Wylie,/poets/elinor-wylie
1468,Edgar%20Lee%20Masters,/poets/edgar-lee-masters
1469,John%20Matthias,/poets/john-matthias
1470,Lisa%20Fishman,/poets/lisa-fishman
1471,Edwin%20Markham,/poets/edwin-markham
1472,Tony%20Lopez,/poets/tony-lopez
1473,Ted%20Kooser,/poets/ted-kooser
1474,Haji%20Khavari,/poets/haji-khavari
1475,Jack%20Gilbert,/poets/jack-gilbert
1476,Deborah%20Warren,/poets/deborah-warren
1477,Brian%20Culhane,/poets/brian-culhane
1478,Olivia%20Clare,/poets/olivia-clare
1479,E.%20A.%20Markham,/poets/e-a-markham
1480,Arthur%20O'Shaughnessy,/poets/arthur-oshaughnessy
1481,C.%20P.%20Cavafy,/poets/c-p-cavafy
1482,Ginger%20Ko,/poets/ginger-ko
1483,Dolores%20Hayden,/poets/dolores-hayden
1484,Lucas%20Howell,/poets/lucas-howell
1485,Gerald%20Stern,/poets/gerald-stern
1486,Franny%20Choi,/poets/franny-choi
